F1,F2,F3,F4,F5,F6,F7_A,F7_B,F7_C,F8_X,F8_Y,F8_Z,Y
3.4426332381996123,-1.3138106803795342,-1.0245289129130064,-1.0181176115186856,-2.0028137385258296,2.0650242577008555,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.7680761786035935,-0.12521387539045814,0.9080628435179854,0.5312232285925814,-0.7598679253449151,0.0800826246230855,0.0,1.0,0.0,0.0,1.0,0.0,0
4.506274363144721,-1.1129098284538748,-1.2026965859010301,0.11379956534029644,0.9832399694454041,-2.1250101249030164,1.0,0.0,0.0,1.0,0.0,0.0,0
2.4801998005855777,-1.043019869527273,-0.2863661358651756,0.184366707175664,-0.6289453549327747,0.6088905165770311,0.0,0.0,1.0,0.0,1.0,0.0,0
-5.099717850145947,0.3968484390906305,-0.5860516399755586,1.950943482686692,-0.8288751628002715,-0.9040891661490803,0.0,0.0,1.0,1.0,0.0,0.0,0
5.976846743140535,-0.3212178252893002,0.16432065938191598,-1.2690896148598123,1.3095256365144003,-0.66334944166446,0.0,1.0,0.0,1.0,0.0,0.0,0
3.281578277334083,1.2655573504649853,-0.640490071855426,-0.027433354183723595,1.340254400951829,0.6265763897910038,0.0,0.0,1.0,1.0,0.0,0.0,1
3.594790079649384,-0.5425305161757898,-0.27089362707093734,0.3044355228138156,0.5169904721611418,0.2545541255127244,0.0,0.0,1.0,0.0,1.0,0.0,0
-4.673261918226801,0.6785403851517033,-0.23613009177798555,-0.7362731165383355,-0.4551173340386673,-0.4881087753386017,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.6234686920881362,-0.11670170953527714,-0.734387757391301,0.028326745082940964,-0.23947106511632352,-0.6496056326016644,1.0,0.0,0.0,0.0,1.0,0.0,0
-1.623599911600837,0.4798539033878364,0.48509386849711267,-1.599949334084345,-0.804149961574959,0.12583605522083274,0.0,1.0,0.0,1.0,0.0,0.0,0
5.3628870151043895,0.2990860701479712,0.23838837483742528,1.4099062172750279,-0.9947731190286448,-0.4094655525123675,1.0,0.0,0.0,0.0,0.0,1.0,0
1.8078624174129165,-0.08164808172300542,-0.0886139452531673,-0.6816145525304338,-1.0444164883084324,-1.1092371336030074,1.0,0.0,0.0,0.0,1.0,0.0,1
4.055942052449717,1.3501832838733114,-0.4304583334619581,2.031400164778503,-0.6180544067852075,-0.33256318147836006,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.7110781490461969,-0.4718590717351324,0.796544030519997,-0.03247432391745505,-1.034720990684745,0.33959262325518413,0.0,0.0,1.0,0.0,1.0,0.0,1
-3.4276193112988262,-0.9682934962521823,-0.23583424381418136,1.0280535653991831,-1.563705118543149,-0.17810346681963335,0.0,1.0,0.0,0.0,0.0,1.0,0
0.6859326635468406,0.5342821826394848,-0.3066972878259372,-0.05330286899115438,0.21940266975390574,-1.4135085982481852,0.0,0.0,1.0,0.0,0.0,1.0,1
-5.481234015383044,1.0380226839237263,0.10469002988812601,-0.03074383226052982,0.23459558089343707,0.9890646213755394,1.0,0.0,0.0,0.0,1.0,0.0,1
4.117134732075639,-1.3792387801802288,1.6965866829708507,-0.5840293332220078,1.7007927584283167,-2.7388114369433336,1.0,0.0,0.0,0.0,1.0,0.0,0
1.6545436360847734,-0.15110193473195832,-1.340356208021204,0.11912392936627762,-0.6683383683547026,-0.4463651550284352,0.0,0.0,1.0,1.0,0.0,0.0,1
3.2432261929352095,1.1774630690619787,0.7698568930553547,0.31799869441404743,0.29610058962327057,-0.6201984545539159,1.0,0.0,0.0,0.0,1.0,0.0,1
-1.8280805992451719,0.7488558567686026,-1.893171161238105,-0.7842585089151799,0.31271257927480167,0.14817887787141484,1.0,0.0,0.0,0.0,1.0,0.0,0
5.91496582199303,1.4754231494928847,0.21727315822862395,-0.1250444158598842,-0.2538375611255331,0.5616618078027354,1.0,0.0,0.0,1.0,0.0,0.0,1
4.940105706867192,0.0942414347917313,1.5750828276087308,-0.6100988660571137,0.7443335887496761,1.1267648082610353,0.0,1.0,0.0,0.0,0.0,1.0,0
3.498270197150264,0.4799871564034538,0.48866852446730713,2.2996640696148387,0.7752291868507144,-0.7124048733521602,1.0,0.0,0.0,0.0,0.0,1.0,1
-3.837283168411781,-0.5925591565862156,0.1706250785397928,-0.08973076991161853,0.32741109519753997,0.5865823373334818,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.4181962008399661,1.342606798997977,-0.5604494688030756,1.5452321516965593,-0.25563970504779554,0.1958183878814611,1.0,0.0,0.0,0.0,0.0,1.0,1
-5.732730951992683,-0.4009935343303911,0.03104720048855424,-0.19562233080768832,-0.35753010855453504,-1.7115393751832233,1.0,0.0,0.0,0.0,1.0,0.0,1
