F1,F2,F3_A,F3_B,F3_C,Y
0.4967141530112327,1.3993554365860021,0,1,0,1
-0.13826430117118466,0.9246336829127688,1,0,0,0
0.6476885381006925,0.05963036992017413,1,0,0,1
1.5230298564080254,-0.6469367777055739,1,0,0,1
-0.23415337472333597,0.69822331361359,0,0,1,0
-0.23413695694918055,0.3934853854217497,0,0,1,0
1.5792128155073915,0.8951932200277323,1,0,0,1
0.7674347291529088,0.6351718016819695,0,0,1,1
-0.4694743859349521,1.0495527153193351,0,1,0,0
0.5425600435859647,-0.535235211560568,1,0,0,1
-0.46341769281246226,1.3173940656343257,1,0,0,0
-0.46572975357025687,0.19759960469239965,0,1,0,0
0.24196227156603412,2.0752608726252655,0,0,1,1
-1.913280244657798,-0.6891878180895679,0,0,1,0
-1.7249178325130328,1.7359638031652493,1,0,0,0
-0.5622875292409727,0.1979107834626478,1,0,0,0
-1.0128311203344238,-0.6514180036144483,0,1,0,0
0.3142473325952739,-0.48388583405432156,1,0,0,1
-0.9080240755212111,-0.32034730819432017,1,0,0,0
-1.4123037013352917,0.4241659464019164,1,0,0,0
1.465648768921554,0.5228354880354996,0,0,1,1
-0.22577630048653566,-0.573700003938579,0,0,1,0
0.06752820468792384,-0.02435459226098284,0,1,0,1
-1.4247481862134568,2.1422703586118637,0,0,1,0
-0.5443827245251827,1.7275431701007113,1,0,0,0
0.11092258970986608,0.4363236696740321,0,1,0,1
-1.1509935774223028,0.03800347816820029,1,0,0,0
0.37569801834567196,0.1200313267182613,0,1,0,1
-0.600638689918805,0.6135179727304166,0,0,1,0
-0.2916937497932768,-1.0227925651984056,0,1,0,0
-0.6017066122293969,-0.25737653742334515,1,0,0,0
1.8522781845089378,-1.66858407387759,0,1,0,1
-0.013497224737933914,0.39922312260527926,1,0,0,0
-1.0577109289559,0.647195939702741,0,0,1,0
0.822544912103189,-0.4831864622993739,0,1,0,1
-1.2208436499710222,1.5739867632900326,0,1,0,0
0.2088635950047554,-1.225765663002341,0,1,0,1
-1.9596701238797756,-1.46437488020982,0,1,0,0
-1.3281860488984305,0.22445181855997198,1,0,0,0
0.19686123586912352,1.0470983026121545,0,1,0,1
0.7384665799954104,1.6839276914578687,1,0,0,1
0.1713682811899705,-0.45888426286894,0,0,1,1
-0.11564828238824053,1.0786808334312956,0,0,1,0
-0.3011036955892888,-0.03850846950070721,0,0,1,0
-1.4785219903674274,-0.17262729994081963,0,1,0,0
-0.7198442083947086,0.8836599374866724,0,1,0,0
-0.4606387709597875,0.6523228784134196,1,0,0,0
1.0571222262189157,-1.5763921569842494,0,0,1,1
0.3436182895684614,1.4765403497258958,1,0,0,1
-1.763040155362734,1.3800913541474515,0,1,0,0
0.324083969394795,-0.6255627015095294,1,0,0,1
-0.38508228041631654,0.39580353343740904,1,0,0,0
-0.6769220003059587,0.4940301862827388,0,1,0,0
0.6116762888408679,0.2606737658239071,1,0,0,1
1.030999522495951,-0.5503051538454201,0,0,1,1
0.9312801191161986,-0.6716233679380516,1,0,0,1
-0.8392175232226385,-0.025554070991445278,1,0,0,0
-0.3092123758512146,1.1727290192593647,0,1,0,0
0.33126343140356396,0.5436001545944323,1,0,0,1
0.9755451271223592,-0.37061433208610595,1,0,0,1
-0.47917423784528995,0.7716987106483447,0,0,1,0
-0.18565897666381712,-2.8485426206300755,1,0,0,0
-1.1063349740060282,1.1487657003721035,0,0,1,0
-1.1962066240806708,-1.7397137787780996,1,0,0,0
0.812525822394198,-0.36244094140313216,1,0,0,1
1.356240028570823,-1.1196698946261439,0,0,1,1
-0.07201012158033385,-1.2946814757209055,1,0,0,0
1.0035328978920242,1.1608267873785192,1,0,0,1
0.36163602504763415,-0.46770120131189136,1,0,0,1
-0.6451197546051243,0.3465038817307158,1,0,0,0
0.36139560550841393,-0.04692057887918407,0,0,1,1
1.5380365664659692,0.47704082722312147,1,0,0,1
-0.03582603910995153,0.07682189106025536,0,0,1,0
1.564643655814006,-1.2829922241885696,0,0,1,1
-2.6197451040897444,0.99626681944714,0,1,0,0
0.8219025043752238,-0.4937565831613125,0,0,1,1
0.08704706823817134,-1.556581898659751,1,0,0,1
-0.29900735046586785,-0.4281151609659125,0,0,1,0
0.0917607765355023,1.5007597906343109,1,0,0,1
-1.9875689146008928,0.8502217421134929,0,1,0,0
-0.21967188783751193,-0.3486521344078592,0,1,0,0
0.3571125715117464,-0.3492577043184288,1,0,0,1
1.477894044741516,-0.3216350512173826,0,1,0,1
-0.5182702182736474,2.076747983560841,0,0,1,0
-0.8084936028931876,0.38193545223155334,1,0,0,0
-0.5017570435845365,0.43004164719106963,1,0,0,0
0.9154021177020741,1.0302834540318422,0,0,1,1
0.32875110965968446,0.23878915902651351,0,1,0,1
-0.5297602037670388,-0.2590421458207031,0,0,1,0
0.5132674331133561,-0.19634984908497827,0,0,1,1
0.09707754934804039,-0.07160125941406395,0,0,1,1
0.9686449905328892,-0.03722223650984159,0,0,1,1
-0.7020530938773524,0.7276295436369798,1,0,0,0
-0.3276621465977682,0.05194588580729943,1,0,0,0
-0.39210815313215763,0.7326400772155792,0,0,1,0
-1.4635149481321186,-0.08071658010858232,0,1,0,0
0.29612027706457605,0.07863519031609059,1,0,0,1
0.26105527217988933,-1.9982006845321076,1,0,0,1
0.0051134566424609,0.9163276747024814,0,0,1,1
-0.23458713337514742,0.3464884758979927,0,1,0,0
-1.4153707420504142,0.9980101098596522,0,1,0,0
-0.42064532276535904,-2.8962553781936893,0,1,0,0
-0.3427145165267695,2.0883747047807275,1,0,0,0
-0.8022772692216189,-0.13958962815517376,1,0,0,0
-0.16128571166600914,1.1081828167375165,1,0,0,0
0.4040508568145384,-1.0399059271255309,1,0,0,1
1.8861859012105302,0.6127739050625697,0,0,1,1
0.17457781283183896,-1.0534155631736561,0,1,0,1
0.257550390722764,-0.6237689606958051,0,0,1,1
-0.0744459157661671,1.9140313538667861,0,0,1,0
-1.9187712152990415,-0.19068240076334658,1,0,0,0
-0.026513875449216878,0.21743287317972287,0,1,0,0
0.06023020994102644,0.8700677306887539,0,1,0,1
2.463242112485286,0.4956818879726045,0,0,1,1
-0.19236096478112252,0.15041890514357628,1,0,0,0
0.30154734233361247,0.3649610024662251,0,1,0,1
-0.03471176970524331,2.403415585238275,0,1,0,0
-1.168678037619532,-0.05761879703358539,1,0,0,0
1.1428228145150205,0.2010990467149675,1,0,0,1
0.7519330326867741,1.050654396007612,0,1,0,1
0.7910319470430469,1.1055259329579838,0,0,1,1
-0.9093874547947389,1.1870303055603801,1,0,0,0
1.4027943109360992,0.6387302220291846,0,1,0,1
-1.4018510627922809,-1.1430049127304835,1,0,0,0
0.5868570938002703,1.633431532301096,0,0,1,1
2.1904556258099785,-1.146345393018688,1,0,0,1
-0.9905363251306883,0.30263546523903323,0,0,1,0
-0.5662977296027719,-0.7542758500193579,1,0,0,0
0.09965136508764122,-0.06413834659299263,1,0,0,1
